Variable Angle Spectroscopic Ellipsometric (VASE) Data
Wavelength (nm)	Psi (65.00, 70.00, 75.00°)	Delta (65.00, 70.00, 75.00°)									Model	
241.143387	37.147457	110.128212	37.379337	111.925301	29.618242	162.697876	30.017576	165.831787	33.069111	250.917770	33.681866	252.741486	
242.734039	35.235432	126.981956	35.634144	128.923019	30.767029	195.815536	31.030731	199.174683	39.167389	263.696808	39.414665	264.793396	
244.324677	34.128555	148.891571	34.470695	150.306656	33.728592	221.996979	34.168468	225.311646	45.311069	263.671326	45.838425	263.043091	
245.915375	34.106899	172.783340	34.220139	173.863632	37.554043	238.228104	38.137276	240.555756	56.327209	246.337753	58.043678	242.184204	
247.506073	34.999935	195.232712	35.093166	196.440857	42.196873	242.704254	42.840454	243.277374	72.205322	140.526855	68.845573	127.106651	
249.096832	36.784756	213.334061	36.970039	214.663986	48.535404	231.533890	49.572922	229.217316	53.536217	80.269295	51.944412	79.370728	
250.687576	39.508472	224.211227	39.664841	225.580658	57.595840	190.857346	58.133324	180.463608	45.996216	65.682091	45.342300	66.438553	
252.278351	42.825157	226.067062	43.288567	226.119827	55.299389	122.583977	53.704102	116.133995	42.419426	62.231476	42.068951	64.132240	
253.869095	47.773338	212.785431	48.158047	211.452805	48.097038	91.727333	46.894894	90.673096	39.979225	66.917740	39.710670	69.452194	
255.459930	52.399925	178.532684	52.479271	174.173813	43.512627	82.065544	43.032124	83.092026	37.211418	78.762726	37.164295	81.285172	
257.050751	51.180138	133.066177	50.444351	130.567001	40.566616	83.124519	40.598969	85.320358	33.922607	97.504845	33.873665	100.279266	
258.641602	46.883423	108.005966	46.052456	107.659897	38.729420	91.560570	38.639847	94.538353	29.854324	125.212914	30.026712	128.821854	
260.232483	43.342365	99.085030	42.921448	100.339737	36.712120	106.476433	36.732170	109.588646	27.473810	165.367554	27.675829	168.306503	
261.823395	41.004791	100.379417	40.864216	102.514252	34.976986	126.803551	34.895958	130.153595	29.003471	206.599533	29.403811	209.503616	
263.414246	39.392925	108.481987	39.381992	111.056679	33.666908	152.333344	33.605610	155.566223	33.115746	237.648560	33.526077	240.044189	
265.005219	38.039040	122.199883	38.206657	124.173569	33.243618	180.045700	33.532677	183.301712	37.220684	256.948181	37.490265	258.985291	
266.596130	36.951694	138.586777	37.296047	140.708084	34.744431	206.114487	34.821381	209.097260	40.757271	266.831848	40.920025	268.105011	
268.187073	36.827991	158.432343	36.755699	159.553238	36.749397	226.632828	36.923630	229.531830	44.269241	266.851013	44.667881	267.158264	
269.778046	36.807854	178.113525	36.725060	179.269714	39.075466	240.561523	39.324638	243.038193	49.765831	255.492294	50.552670	253.178711	
271.369110	37.111885	196.901428	37.254490	198.104324	41.796410	247.161911	42.006653	248.532562	60.215935	218.295563	61.411503	210.332169	
272.960052	38.300083	213.266998	38.274246	214.308685	45.072193	244.279556	45.462795	244.057053	62.164143	129.209946	59.971054	122.736794	
274.551117	39.851650	224.883408	39.697361	226.340836	50.015644	228.701950	50.491211	225.203262	51.628448	87.031013	50.471313	85.921860	
276.142151	41.590675	231.819702	41.560295	232.669739	55.672024	190.040375	55.734142	182.575317	46.205845	70.742363	45.729618	71.691437	
277.733215	43.943893	231.087631	44.091496	231.374191	54.570930	135.989853	53.569805	130.593918	43.305813	66.244415	43.112041	67.428444	
279.324310	47.424332	220.186798	47.566639	219.599976	49.459549	104.174980	48.352577	101.980453	41.174503	68.099777	41.200363	69.645775	
280.915436	51.291237	195.401688	51.347733	193.378906	45.168190	89.771645	44.700466	89.817390	39.320801	75.035927	39.287270	76.730492	
282.506470	52.360661	157.808640	52.093597	155.924118	42.367451	85.751839	42.254208	87.026901	37.080627	86.398872	36.965836	88.353195	
284.097595	49.435795	126.842117	48.984875	126.118088	40.261345	88.856010	40.340557	90.449875	34.093361	102.668747	33.994076	105.146568	
285.688751	46.074482	109.881889	45.500515	110.471657	38.704788	96.773895	38.522587	98.501038	30.302166	126.317070	30.500631	128.447540	
287.279877	42.722118	103.454422	42.806259	104.869156	36.647343	108.465446	36.573399	110.482315	27.279266	157.588547	27.538315	159.240570	
288.871094	40.641109	104.698143	40.722313	105.911781	34.600533	124.253952	34.471172	126.142441	26.764069	193.217133	26.910961	194.255249	
290.462280	38.918709	109.869331	38.953445	111.515869	32.799076	143.263657	32.443550	145.248123	28.902611	224.469299	28.909779	225.310501	
292.053467	37.089123	119.527122	37.327316	120.417519	31.032646	165.315201	30.951063	167.026382	32.003258	246.942490	31.978222	248.189819	
293.644653	35.625420	131.183472	35.802662	131.844482	30.471201	187.746368	30.454536	189.689850	34.809158	262.475494	34.984249	263.717346	
295.235840	33.929428	144.206696	34.439476	145.244064	30.916197	208.946915	31.062494	210.838852	37.509384	-86.802444	37.719925	-86.577446	
296.827087	33.104309	159.689362	33.362812	160.059982	32.347897	226.186829	32.494873	228.646057	40.384968	-82.354073	40.468712	-81.902374	
298.418304	32.545227	175.742874	32.710491	175.607193	34.232018	240.180115	34.392990	242.390884	43.748554	-82.336380	43.839775	-82.269623	
300.009583	32.469719	190.741318	32.576168	191.047592	36.596779	250.124573	36.571175	251.978714	48.764297	-89.010063	48.918247	-88.500038	
301.600891	32.812408	205.776581	32.973137	205.512161	38.820599	255.758621	39.081802	257.358154	57.194130	257.389374	57.697533	256.674957	
303.192108	33.956806	218.208328	33.850750	218.248184	41.888660	257.547577	42.223301	258.156555	70.913345	221.641113	71.846405	215.824112	
304.783386	35.342518	228.635483	35.147789	228.684418	45.970150	253.030991	46.571281	253.387848	70.789619	125.570374	69.772354	122.187576	
306.374756	36.969204	235.530457	36.851254	236.361328	52.332886	241.793961	52.944958	240.587845	57.593327	88.128754	56.891117	89.189255	
307.966034	39.203003	239.346298	39.041866	240.794159	60.233967	215.701523	61.274361	212.515945	49.549824	74.661430	49.238113	75.763390	
309.557434	42.219563	240.271149	41.922153	241.303223	65.035736	166.370972	64.644257	161.011703	44.813683	68.269203	44.721245	69.295303	
311.148682	45.648403	236.411102	45.804012	236.760544	59.071358	122.157387	57.996918	119.793869	41.820061	65.867744	41.711510	67.154396	
312.740051	50.772938	224.801636	50.916592	225.042419	51.896301	100.069183	50.789532	100.029083	39.232922	66.878822	39.338417	68.145378	
314.331390	56.431988	202.552155	56.447693	202.353134	46.022690	89.665054	45.714661	90.548363	37.033806	70.239868	37.118362	71.624161	
